"Year","Month","Rainfall","Month_num"
1909,"Apr",62.1,4
1909,"May",170.5,5
1909,"Jun",188,6
1909,"Jul",326.8,7
1909,"Aug",212.3,8
1909,"Sep",216.4,9
1909,"Oct",609.7,10
1909,"Nov",1.6,11
1909,"Dec",0,12
1910,"Jan",22.7,1
1910,"Feb",10.5,2
1910,"Mar",14.7,3
1910,"Apr",94.3,4
1910,"May",49.5,5
1910,"Jun",462.1,6
1910,"Jul",353.1,7
1910,"Aug",283.6,8
1910,"Sep",405.4,9
1910,"Oct",1.2,10
1910,"Nov",65,11
1910,"Dec",20.2,12
1911,"Jan",18.7,1
1911,"Feb",0,2
1911,"Mar",97.4,3
1911,"Apr",150.5,4
1911,"May",563.6,5
1911,"Jun",129,6
1911,"Jul",205.1,7
1911,"Aug",763.4,8
1911,"Sep",158.2,9
1911,"Oct",144.5,10
1911,"Nov",69.2,11
1911,"Dec",2.5,12
1912,"Jan",68.4,1
1912,"Feb",62.3,2
1912,"Mar",110.4,3
1912,"Apr",101.2,4
1912,"May",100.3,5
1912,"Jun",359.9,6
1912,"Jul",191.8,7
1912,"Aug",399.6,8
1912,"Sep",98.5,9
1912,"Oct",0.4,10
1912,"Nov",7.4,11
1912,"Dec",125,12
1913,"Jan",26.1,1
1913,"Feb",60.7,2
1913,"Mar",177.5,3
1913,"Apr",55,4
1913,"May",237,5
1913,"Jun",407.2,6
1913,"Jul",382.2,7
1913,"Aug",268.6,8
1913,"Sep",370.4,9
1913,"Oct",90.2,10
1913,"Nov",18.7,11
1913,"Dec",35.5,12
1914,"Jan",0,1
1914,"Feb",82.4,2
1914,"Mar",29.9,3
1914,"Apr",113.6,4
1914,"May",320.3,5
1914,"Jun",310.7,6
1914,"Jul",668.6,7
1914,"Aug",106.5,8
1914,"Sep",507.5,9
1914,"Oct",163.8,10
1914,"Nov",224.2,11
1914,"Dec",18.3,12
1915,"Jan",8.8,1
1915,"Feb",12.9,2
1915,"Mar",66.7,3
1915,"Apr",45.8,4
1915,"May",324.4,5
1915,"Jun",303.7,6
1915,"Jul",391.1,7
1915,"Aug",267,8
1915,"Sep",145.3,9
1915,"Oct",297,10
1915,"Nov",48.2,11
1915,"Dec",19.6,12
1916,"Jan",103.3,1
1916,"Feb",33.3,2
1916,"Mar",8.9,3
1916,"Apr",109,4
1916,"May",327.8,5
1916,"Jun",816.8,6
1916,"Jul",211,7
1916,"Aug",128,8
1916,"Sep",267.2,9
1916,"Oct",18.6,10
1916,"Nov",1.9,11
1916,"Dec",1.3,12
1917,"Jan",8.6,1
1917,"Feb",10.3,2
1917,"Mar",67.4,3
1917,"Apr",133.2,4
1917,"May",246.3,5
1917,"Jun",292.5,6
1917,"Jul",763.8,7
1917,"Aug",303.5,8
1917,"Sep",123.6,9
1917,"Oct",88.1,10
1917,"Nov",2.4,11
1917,"Dec",28.8,12
1918,"Jan",0.2,1
1918,"Feb",0.3,2
1918,"Mar",28,3
1918,"Apr",112.5,4
1918,"May",168.8,5
1918,"Jun",629.5,6
1918,"Jul",296.2,7
1918,"Aug",742.8,8
1918,"Sep",468.6,9
1918,"Oct",1.2,10
1918,"Nov",128.9,11
1918,"Dec",3.3,12
1919,"Jan",15.8,1
1919,"Feb",38.2,2
1919,"Mar",44.7,3
1919,"Apr",112.4,4
1919,"May",176.3,5
1919,"Jun",274.2,6
1919,"Jul",492.7,7
1919,"Aug",499.3,8
1919,"Sep",67.4,9
1919,"Oct",119.5,10
1919,"Nov",73.7,11
1919,"Dec",18.3,12
1920,"Jan",1.6,1
1920,"Feb",67.1,2
1920,"Mar",35.1,3
1920,"Apr",209.7,4
1920,"May",461.3,5
1920,"Jun",395.4,6
1920,"Jul",610.9,7
1920,"Aug",278.6,8
1920,"Sep",298.2,9
1920,"Oct",157.3,10
1920,"Nov",178.8,11
1920,"Dec",45.6,12
1921,"Jan",4.8,1
1921,"Feb",26.3,2
1921,"Mar",114.8,3
1921,"Apr",71.7,4
1921,"May",858.4,5
1921,"Jun",374.3,6
1921,"Jul",301.5,7
1921,"Aug",392.6,8
1921,"Sep",307.6,9
1921,"Oct",10,10
