"Day","Month","WindSpeed","Year"
12,"Oct",15.5,2012
13,"Oct",12.9,2012
14,"Oct",11.2,2012
15,"Oct",14,2012
16,"Oct",13.7,2012
17,"Oct",25.4,2012
18,"Oct",28.9,2012
19,"Oct",33.2,2012
20,"Oct",26.3,2012
21,"Oct",23.6,2012
22,"Oct",13.1,2012
23,"Oct",16.2,2012
24,"Oct",30.9,2012
25,"Oct",27.7,2012
26,"Oct",35.7,2012
27,"Oct",37.2,2012
28,"Oct",37.9,2012
29,"Oct",45.7,2012
30,"Oct",40.5,2012
31,"Oct",38.6,2012
1,"Nov",28,2012
2,"Nov",27.5,2012
3,"Nov",31.4,2012
4,"Nov",17.6,2012
5,"Nov",24,2012
6,"Nov",26.8,2012
7,"Nov",36.8,2012
8,"Nov",28.1,2012
9,"Nov",16.6,2012
10,"Nov",10.2,2012
11,"Nov",29.8,2012
12,"Nov",20.8,2012
13,"Nov",10.6,2012
14,"Nov",24.5,2012
15,"Nov",43.3,2012
16,"Nov",39,2012
17,"Nov",28,2012
18,"Nov",27.4,2012
19,"Nov",29,2012
20,"Nov",37,2012
21,"Nov",25.7,2012
22,"Nov",8.5,2012
23,"Nov",27.9,2012
24,"Nov",30.3,2012
25,"Nov",29.5,2012
26,"Nov",22.9,2012
27,"Nov",35.6,2012
28,"Nov",27.6,2012
29,"Nov",19.3,2012
30,"Nov",23.9,2012
1,"Dec",32.1,2012
2,"Dec",21.5,2012
3,"Dec",22,2012
4,"Dec",33.3,2012
5,"Dec",35.8,2012
6,"Dec",34.1,2012
7,"Dec",26.5,2012
8,"Dec",28.4,2012
9,"Dec",33.8,2012
10,"Dec",39.3,2012
11,"Dec",29.3,2012
12,"Dec",37.6,2012
13,"Dec",38.4,2012
14,"Dec",20.5,2012
15,"Dec",9.7,2012
16,"Dec",7.2,2012
17,"Dec",34.5,2012
18,"Dec",37.9,2012
19,"Dec",40,2012
20,"Dec",43.7,2012
21,"Dec",22.9,2012
22,"Dec",25.1,2012
23,"Dec",46,2012
24,"Dec",27.5,2012
25,"Dec",24.3,2012
26,"Dec",46.5,2012
27,"Dec",33,2012
28,"Dec",18.8,2012
29,"Dec",37.2,2012
30,"Dec",52.2,2012
31,"Dec",25.6,2012
1,"Jan",18,2013
2,"Jan",23.6,2013
3,"Jan",29.2,2013
4,"Jan",23.3,2013
5,"Jan",19.3,2013
6,"Jan",15.2,2013
7,"Jan",15,2013
8,"Jan",11.3,2013
9,"Jan",23.5,2013
10,"Jan",25.2,2013
11,"Jan",21.1,2013
12,"Jan",12.3,2013
13,"Jan",10.1,2013
14,"Jan",22.5,2013
15,"Jan",30.3,2013
16,"Jan",17.3,2013
17,"Jan",29.5,2013
18,"Jan",25.9,2013
19,"Jan",28.7,2013
20,"Jan",25,2013
21,"Jan",20.6,2013
22,"Jan",13.6,2013
23,"Jan",18.6,2013
24,"Jan",13.3,2013
25,"Jan",16.6,2013
26,"Jan",22.3,2013
27,"Jan",18.7,2013
28,"Jan",35,2013
29,"Jan",22,2013
30,"Jan",25.8,2013
31,"Jan",23.8,2013
1,"Feb",14.5,2013
2,"Feb",20.5,2013
3,"Feb",31.9,2013
4,"Feb",11.6,2013
5,"Feb",16.6,2013
6,"Feb",17,2013
7,"Feb",31,2013
8,"Feb",42.8,2013
9,"Feb",22.5,2013
10,"Feb",18.7,2013
11,"Feb",32,2013
12,"Feb",17.1,2013
13,"Feb",21,2013
14,"Feb",19.4,2013
15,"Feb",14.2,2013
16,"Feb",37.2,2013
17,"Feb",22.1,2013
18,"Feb",8.4,2013
19,"Feb",14.5,2013
20,"Feb",34,2013
21,"Feb",27.1,2013
22,"Feb",18,2013
23,"Feb",29.8,2013
24,"Feb",33.2,2013
25,"Feb",24.6,2013
26,"Feb",18.4,2013
27,"Feb",6.6,2013
28,"Feb",26.9,2013
1,"Mar",19.1,2013
2,"Mar",30.2,2013
3,"Mar",24.8,2013
4,"Mar",19.8,2013
5,"Mar",29.1,2013
6,"Mar",19.5,2013
7,"Mar",9.8,2013
8,"Mar",9.7,2013
9,"Mar",4.4,2013
10,"Mar",7.5,2013
11,"Mar",24.3,2013
12,"Mar",22.4,2013
13,"Mar",9.8,2013
14,"Mar",33.8,2013
15,"Mar",27.9,2013
16,"Mar",21.4,2013
17,"Mar",13.7,2013
18,"Mar",8.5,2013
19,"Mar",14.8,2013
20,"Mar",11.2,2013
21,"Mar",24.4,2013
22,"Mar",16.5,2013
23,"Mar",8.3,2013
24,"Mar",5.3,2013
25,"Mar",31.1,2013
26,"Mar",31.7,2013
27,"Mar",16,2013
28,"Mar",23.6,2013
29,"Mar",20,2013
30,"Mar",39.8,2013
31,"Mar",26.6,2013
1,"Apr",26,2013
2,"Apr",16.9,2013
3,"Apr",35.2,2013
4,"Apr",24,2013
5,"Apr",21.5,2013
6,"Apr",35.8,2013
7,"Apr",29.8,2013
8,"Apr",32.8,2013
9,"Apr",23.9,2013
10,"Apr",25,2013
11,"Apr",32.3,2013
12,"Apr",25.8,2013
13,"Apr",19.3,2013
14,"Apr",12.5,2013
15,"Apr",10.5,2013
16,"Apr",6.4,2013
17,"Apr",14,2013
18,"Apr",13.8,2013
19,"Apr",14.7,2013
20,"Apr",17.3,2013
21,"Apr",31.6,2013
22,"Apr",38.1,2013
23,"Apr",21.9,2013
24,"Apr",7.7,2013
25,"Apr",10.2,2013
26,"Apr",32.8,2013
27,"Apr",35.7,2013
28,"Apr",28.5,2013
29,"Apr",22.4,2013
30,"Apr",20.4,2013
1,"May",30.4,2013
2,"May",44.5,2013
3,"May",35.5,2013
4,"May",26.9,2013
5,"May",20.4,2013
6,"May",23.6,2013
7,"May",22.1,2013
8,"May",30,2013
9,"May",12.8,2013
10,"May",8.1,2013
11,"May",9.4,2013
12,"May",12.8,2013
13,"May",12.6,2013
14,"May",17,2013
15,"May",25.7,2013
16,"May",25.6,2013
17,"May",7.3,2013
18,"May",18.3,2013
19,"May",28,2013
20,"May",25.7,2013
21,"May",11.3,2013
22,"May",15.2,2013
23,"May",6.6,2013
24,"May",9.9,2013
25,"May",17.1,2013
26,"May",26.6,2013
27,"May",26.9,2013
28,"May",18.2,2013
29,"May",11.7,2013
30,"May",7.2,2013
31,"May",12.8,2013
1,"Jun",20,2013
2,"Jun",25.2,2013
3,"Jun",20.2,2013
4,"Jun",11.5,2013
5,"Jun",9.3,2013
6,"Jun",10,2013
7,"Jun",15.8,2013
