"Day","Month","Rainfall","Year"
12,"Mar",0.2,2013
13,"Mar",0.01,2013
14,"Mar",0.01,2013
15,"Mar",0,2013
16,"Mar",0,2013
17,"Mar",0,2013
18,"Mar",0,2013
19,"Mar",18.2,2013
20,"Mar",0.01,2013
21,"Mar",0.8,2013
22,"Mar",0,2013
23,"Mar",0,2013
24,"Mar",1.1,2013
25,"Mar",0.9,2013
26,"Mar",13.6,2013
27,"Mar",1.5,2013
28,"Mar",31.4,2013
29,"Mar",2.7,2013
30,"Mar",58.2,2013
31,"Mar",1,2013
1,"Apr",0.1,2013
2,"Apr",13.3,2013
3,"Apr",9.2,2013
4,"Apr",0.5,2013
5,"Apr",34.7,2013
6,"Apr",36.8,2013
7,"Apr",0,2013
8,"Apr",0.01,2013
9,"Apr",25.1,2013
10,"Apr",14.1,2013
11,"Apr",13.8,2013
12,"Apr",2.1,2013
13,"Apr",0,2013
14,"Apr",0,2013
15,"Apr",0,2013
16,"Apr",0.4,2013
17,"Apr",15.6,2013
18,"Apr",8.2,2013
19,"Apr",8.9,2013
20,"Apr",12.2,2013
21,"Apr",0.3,2013
22,"Apr",1,2013
23,"Apr",0.5,2013
24,"Apr",0,2013
25,"Apr",30.3,2013
26,"Apr",2.9,2013
27,"Apr",0.01,2013
28,"Apr",0.01,2013
29,"Apr",0.01,2013
30,"Apr",23.8,2013
1,"May",1.2,2013
2,"May",0.9,2013
3,"May",33.8,2013
4,"May",0.01,2013
5,"May",0.01,2013
6,"May",0.01,2013
7,"May",0.01,2013
8,"May",29.7,2013
9,"May",31.3,2013
10,"May",23.4,2013
11,"May",0.1,2013
12,"May",1.4,2013
13,"May",0.2,2013
14,"May",0.01,2013
15,"May",0.01,2013
16,"May",5.4,2013
17,"May",13.9,2013
18,"May",21,2013
19,"May",0.1,2013
20,"May",26,2013
21,"May",26.3,2013
22,"May",230.8,2013
23,"May",0.01,2013
24,"May",0.01,2013
25,"May",52,2013
26,"May",11.3,2013
27,"May",0.1,2013
28,"May",0.01,2013
29,"May",0.4,2013
30,"May",0,2013
31,"May",0,2013
1,"Jun",0,2013
2,"Jun",0.01,2013
3,"Jun",0,2013
4,"Jun",20.2,2013
5,"Jun",2.4,2013
6,"Jun",13.6,2013
7,"Jun",0.2,2013
8,"Jun",10.6,2013
9,"Jun",15.7,2013
10,"Jun",12.6,2013
11,"Jun",168.9,2013
12,"Jun",1.1,2013
13,"Jun",1.4,2013
14,"Jun",30.8,2013
15,"Jun",62,2013
16,"Jun",5.4,2013
17,"Jun",6.5,2013
18,"Jun",0.01,2013
19,"Jun",0,2013
20,"Jun",0,2013
21,"Jun",0.8,2013
22,"Jun",15.2,2013
23,"Jun",12.1,2013
24,"Jun",57,2013
25,"Jun",0.7,2013
26,"Jun",0.01,2013
